LotArea,Neighborhood,BldgType,HouseStyle,OverallQual,Foundation,TotalBsmtSF,CentralAir,Electrical,GrLivArea,BedroomAbvGr,YrSold,SaleType,SaleCondition,SalePrice
70761,Clear Creek,Single Family,1Story,7,Cinder Block,1533,Yes,SBrkr,1533,2,2006,Warranty Deed,Normal,280000
63887,Edwards,Single Family,2Story,10,Poured Concrete ,6110,Yes,SBrkr,5642,3,2008,New,Partial,160000
57200,Timber,Single Family,1Story,5,Cinder Block,747,Yes,SBrkr,1687,3,2010,Warranty Deed,Normal,160000
53504,Stony Brook,Single Family,2Story,8,Poured Concrete ,1650,Yes,SBrkr,3279,4,2010,Warranty Deed,Normal,538000
53227,Clear Creek,Single Family,1Story,4,Cinder Block,1364,Yes,SBrkr,1663,2,2008,Warranty Deed,Normal,256000
53107,Clear Creek,Single Family,2Story,6,Poured Concrete ,1580,Yes,SBrkr,1953,3,2007,Warranty Deed,Normal,240000
50271,Veenker,Single Family,1Story,9,Cinder Block,1842,Yes,SBrkr,1842,0,2006,Warranty Deed,Normal,385000
46589,NoRidge,Single Family,2Story,8,Poured Concrete ,1629,Yes,SBrkr,2448,4,2009,Warranty Deed,Normal,402000
45600,Clear Creek,Single Family,1.5Fin,6,Brick and Tile,907,Yes,SBrkr,2358,5,2008,Warranty Deed,Normal,240000
40094,Edwards,Single Family,2Story,10,Poured Concrete ,3138,Yes,SBrkr,4676,3,2007,New,Partial,184750
39104,Clear Creek,Single Family,1Story,7,Cinder Block,1385,Yes,SBrkr,1363,2,2008,Warranty Deed,Normal,241500
36500,Clear Creek,Single Family,1Story,5,Cinder Block,1624,Yes,SBrkr,1582,4,2006,Warranty Deed,Normal,190000
35760,NoRidge,Single Family,2Story,10,Poured Concrete ,1930,Yes,SBrkr,3627,4,2006,Warranty Deed,Normal,625000
35133,Timber,Single Family,1Story,5,Cinder Block,1572,Yes,SBrkr,1572,3,2007,Warranty Deed,Normal,186700
34650,Gilbert,Two Family,1Story,5,Cinder Block,1056,No,SBrkr,1056,3,2006,Warranty Deed,Normal,145000
32668,Crawfor,Single Family,1Story,6,Poured Concrete ,2035,Yes,SBrkr,2515,4,2007,Warranty Deed,Within Family,200624
32463,Mitchel,Two Family,1Story,4,Cinder Block,1249,Yes,SBrkr,1622,3,2007,Warranty Deed,Normal,168000
31770,NAmes,Single Family,1Story,6,Cinder Block,1080,Yes,SBrkr,1656,3,2010,Warranty Deed,Normal,215000
29959,NoRidge,Single Family,2Story,7,Poured Concrete ,973,Yes,SBrkr,1850,3,2009,Warranty Deed,Normal,248000
28698,Clear Creek,Single Family,2Story,5,Poured Concrete ,1013,Yes,SBrkr,2126,3,2009,Warranty Deed,Force Closure,185000
27650,NAmes,Single Family,1Story,7,Cinder Block,585,Yes,SBrkr,2069,4,2008,Warranty Deed,Normal,242000
26178,Timber,Single Family,2Story,7,Poured Concrete ,1210,Yes,SBrkr,2519,4,2006,Warranty Deed,Normal,335000
26142,Mitchel,Single Family,1Story,5,Cinder Block,1188,Yes,SBrkr,1188,3,2010,Warranty Deed,Normal,157900
25419,NAmes,Single Family,2Story,8,Poured Concrete ,1360,Yes,SBrkr,3112,4,2006,Warranty Deed,Force Closure,235000
25339,Sawyer,Single Family,1Story,5,Brick and Tile,816,Yes,SBrkr,1416,3,2007,Warranty Deed,Normal,112000
25286,Mitchel,Single Family,1Story,4,Poured Concrete ,1064,Yes,SBrkr,1040,3,2007,Warranty Deed,Normal,132250
25095,Clear Creek,Single Family,1Story,5,Cinder Block,1437,Yes,SBrkr,1473,1,2009,Warranty Deed,Partial,143000
25000,Mitchel,Duplex,1Story,5,Cinder Block,1632,Yes,SBrkr,1632,4,2007,Warranty Deed,Normal,143000
24682,Gilbert,Single Family,2Story,6,Poured Concrete ,841,Yes,SBrkr,1675,3,2009,Warranty Deed,Normal,181000
24090,Clear Creek,Single Family,2Story,7,Cinder Block,1032,Yes,SBrkr,2403,4,2010,Contract,Normal,244400
23595,Clear Creek,Single Family,1Story,7,Poured Concrete ,1332,Yes,SBrkr,1524,0,2010,Warranty Deed,Normal,260000
23257,Gilbert,Single Family,2Story,7,Poured Concrete ,868,Yes,SBrkr,2021,3,2006,New,Partial,274725
22950,OldTown,Single Family,2.5Fin,10,Brick and Tile,1107,Yes,SBrkr,3608,4,2006,Warranty Deed,Normal,475000
22420,Crawfor,Single Family,2Story,6,Brick and Tile,1370,No,FuseA,2624,4,2007,Warranty Deed,Normal,239000
21930,Gilbert,Single Family,2Story,5,Poured Concrete ,732,Yes,SBrkr,1838,4,2006,Warranty Deed,Normal,192140
21872,Gilbert,Single Family,2Story,7,Poured Concrete ,729,Yes,SBrkr,1446,3,2008,Warranty Deed,Normal,175000
21780,Edwards,Single Family,1.5Fin,6,Brick and Tile,1163,Yes,SBrkr,1674,4,2008,Warranty Deed,Normal,185000
21750,Mitchel,Single Family,1Story,5,Cinder Block,988,Yes,FuseA,988,2,2008,Warranty Deed,Normal,113000
21750,Mitchel,Single Family,1Story,5,Slab,0,Yes,SBrkr,1771,3,2009,Warranty Deed,Normal,115000
21695,Crawfor,Single Family,1Story,6,Cinder Block,880,Yes,SBrkr,1680,3,2009,Warranty Deed,Normal,222000
21535,NoRidge,Single Family,2Story,10,Poured Concrete ,2444,Yes,SBrkr,4316,4,2007,Warranty Deed,Normal,755000
21453,Clear Creek,Single Family,SFlat,6,Cinder Block,938,Yes,SBrkr,988,1,2006,Warranty Deed,Normal,180000
21384,Brookside,Single Family,2Story,5,Cinder Block,1324,Yes,SBrkr,1576,3,2009,Warranty Deed,Normal,223500
21286,Sawyer,Single Family,1.5Fin,5,Cinder Block,720,Yes,SBrkr,1271,4,2008,Warranty Deed,Normal,135000
21000,Crawfor,Single Family,1Story,6,Cinder Block,1809,Yes,SBrkr,2259,3,2007,Contract,Force Closure,217000
20896,Somerst,Single Family,1Story,8,Poured Concrete ,2077,Yes,SBrkr,2097,1,2006,New,Partial,423000
20781,NWAmes,Single Family,1Story,7,Cinder Block,1568,Yes,SBrkr,2156,3,2006,Warranty Deed,Normal,262500
20544,NWAmes,Single Family,2Story,7,Cinder Block,791,Yes,SBrkr,2093,3,2008,Warranty Deed,Normal,215000
20431,NridgHt,Single Family,2Story,9,Poured Concrete ,1848,Yes,SBrkr,2728,4,2006,New,Partial,437154
19900,NAmes,Single Family,1Story,7,Cinder Block,1947,Yes,SBrkr,2207,3,2010,Warranty Deed,Normal,180000
19690,Edwards,Single Family,SFlat,6,Cinder Block,697,Yes,SBrkr,2201,4,2006,Warranty Deed,Within Family,274970
19378,Gilbert,Single Family,2Story,7,Poured Concrete ,1392,Yes,SBrkr,2462,4,2006,New,Partial,320000
19296,NAmes,Single Family,SFlat,6,Cinder Block,1362,Yes,SBrkr,1382,3,2009,Warranty Deed,Normal,176000
19138,Gilbert,Single Family,1Story,4,Cinder Block,864,Yes,SBrkr,864,2,2010,Warranty Deed,Normal,141000
18890,Sawyer,Duplex,1.5Fin,5,Cinder Block,1361,Yes,SBrkr,2620,4,2007,Warranty Deed,Normal,190000
18800,NWAmes,Single Family,2Story,6,Poured Concrete ,796,Yes,SBrkr,1574,3,2006,Warranty Deed,Normal,190000
18450,NAmes,Single Family,2Story,6,Cinder Block,1021,Yes,SBrkr,2380,3,2007,Warranty Deed,Force Closure,129000
18386,OldTown,Single Family,2.5Fin,7,Brick and Tile,1470,Yes,SBrkr,3493,3,2008,Warranty Deed,Normal,295000
18030,Clear Creek,Single Family,1.5Fin,5,Cinder Block,1598,Yes,SBrkr,3086,3,2007,Warranty Deed,Normal,200500
18000,IDOTRR,Single Family,1Story,3,Cinder Block,894,Yes,SBrkr,894,2,2008,Contract Low Down,Normal,81000
17920,Sawyer,Single Family,1Story,5,Cinder Block,1763,Yes,SBrkr,1779,3,2006,Warranty Deed,Force Closure,170000
17871,NWAmes,Single Family,SFlat,6,Cinder Block,1680,Yes,SBrkr,1724,3,2009,Warranty Deed,Normal,197900
17755,Edwards,Single Family,1Story,5,Cinder Block,1466,Yes,SBrkr,1466,3,2006,Warranty Deed,Normal,149900
17671,OldTown,Single Family,2Story,8,Brick and Tile,916,Yes,SBrkr,1742,4,2009,Warranty Deed,Normal,168000
17600,NAmes,Single Family,1Story,6,Cinder Block,1478,Yes,FuseA,1478,3,2009,Warranty Deed,Normal,157500
17542,Veenker,Single Family,2Story,7,Cinder Block,1192,Yes,SBrkr,2167,3,2007,Warranty Deed,Normal,294000
17503,NAmes,Single Family,1.5Fin,6,Cinder Block,912,Yes,SBrkr,1458,3,2010,Warranty Deed,Force Closure,97500
17500,Crawfor,Single Family,1Story,7,Poured Concrete ,1902,Yes,SBrkr,1902,3,2010,Warranty Deed,Normal,335000
17423,Stony Brook,Single Family,1Story,9,Poured Concrete ,2216,Yes,SBrkr,2234,1,2009,New,Partial,501837
17400,Mitchel,Single Family,1Story,5,Cinder Block,1126,Yes,SBrkr,1126,3,2006,Warranty Deed,Normal,160000
17217,Mitchel,Single Family,1Story,5,Poured Concrete ,1140,Yes,SBrkr,1140,3,2006,Warranty Deed,Force Closure,84500
17140,Edwards,Single Family,1Story,4,Cinder Block,1134,Yes,FuseA,1229,3,2009,Warranty Deed,Normal,135000
17120,Clear Creek,Single Family,1.5Fin,4,Cinder Block,0,Yes,SBrkr,1588,4,2008,Warranty Deed,Normal,134432
17104,Gilbert,Single Family,2Story,7,Poured Concrete ,654,Yes,SBrkr,1496,3,2006,New,Partial,179665
17043,NWAmes,Single Family,1Story,6,Cinder Block,1362,Yes,SBrkr,1586,3,2009,Warranty Deed,Normal,181000
16905,Timber,Single Family,1Story,5,Cinder Block,1350,Yes,SBrkr,1328,2,2007,Warranty Deed,Normal,170000
16770,NoRidge,Single Family,2Story,7,Poured Concrete ,1195,Yes,SBrkr,1839,4,2010,Warranty Deed,Normal,221000
16737,NridgHt,Single Family,1Story,9,Poured Concrete ,1980,Yes,SBrkr,1980,3,2006,Warranty Deed,Normal,315000
16692,NWAmes,Single Family,2Story,7,Cinder Block,1392,Yes,SBrkr,2784,5,2006,Warranty Deed,Normal,250000
16669,Timber,Single Family,1Story,8,Cinder Block,1686,Yes,SBrkr,1707,2,2006,Warranty Deed,Normal,228000
16659,NWAmes,Single Family,2Story,7,Cinder Block,795,Yes,SBrkr,2263,3,2006,Warranty Deed,Normal,235000
16647,Sawyer,Single Family,SFoyer,5,Cinder Block,1390,Yes,SBrkr,1701,3,2007,Warranty Deed,Normal,171000
16635,NWAmes,Single Family,1Story,6,Cinder Block,1602,Yes,SBrkr,1602,3,2009,Warranty Deed,Normal,215000
16560,Crawfor,Single Family,2Story,6,Brick and Tile,952,Yes,SBrkr,2345,4,2006,Warranty Deed,Normal,239000
16545,NoRidge,Single Family,2Story,8,Poured Concrete ,1284,Yes,SBrkr,2450,3,2009,Warranty Deed,Normal,340000
16492,NAmes,Single Family,1Story,6,Cinder Block,1517,Yes,SBrkr,1888,2,2010,Warranty Deed,Normal,190000
16466,Edwards,Single Family,1.5Fin,5,Poured Concrete ,816,Yes,SBrkr,1393,3,2008,Warranty Deed,Normal,135500
16381,Crawfor,Single Family,1Story,6,Cinder Block,1844,Yes,SBrkr,1844,3,2006,Warranty Deed,Normal,223000
16321,NAmes,Single Family,1Story,5,Cinder Block,1484,Yes,SBrkr,1600,2,2006,Warranty Deed,Normal,207500
16285,CollgCr,Single Family,1Story,7,Poured Concrete ,1413,Yes,SBrkr,1430,3,2009,Warranty Deed,Normal,187100
16259,NridgHt,Single Family,2Story,9,Poured Concrete ,1249,Yes,SBrkr,2596,4,2006,New,Partial,342643
16226,CollgCr,Single Family,2Story,8,Poured Concrete ,1028,Yes,SBrkr,2452,4,2007,Warranty Deed,Normal,267000
16196,SawyerW,Single Family,1Story,7,Poured Concrete ,1482,Yes,SBrkr,1494,3,2007,Warranty Deed,Normal,215000
16158,Stony Brook,Single Family,1Story,7,Poured Concrete ,1530,Yes,SBrkr,1530,3,2009,Warranty Deed,Normal,260000
16157,Veenker,Single Family,SFlat,5,Poured Concrete ,1360,Yes,SBrkr,1432,2,2007,Warranty Deed,Normal,194000
16059,NoRidge,Single Family,2Story,8,Cinder Block,1288,Yes,SBrkr,2417,4,2006,Warranty Deed,Normal,260000
16056,Stony Brook,Single Family,2Story,9,Poured Concrete ,1992,Yes,SBrkr,2868,4,2006,New,Partial,556581
16033,NridgHt,Single Family,1Story,9,Poured Concrete ,1833,Yes,SBrkr,1850,3,2006,Warranty Deed,Normal,326000
15870,NAmes,Single Family,1Story,5,Cinder Block,1096,Yes,SBrkr,1096,3,2006,Warranty Deed,Force Closure,138800
15865,NAmes,Single Family,1Story,8,Poured Concrete ,2217,Yes,SBrkr,2217,4,2007,Warranty Deed,Normal,268000
15863,SWISU,Single Family,2.5Fin,7,Brick and Tile,824,Yes,SBrkr,3082,5,2009,Warranty Deed,Normal,197000
15750,Crawfor,Two Family,1Story,5,Cinder Block,1165,Yes,SBrkr,1336,2,2006,Warranty Deed,Normal,157000
15660,Crawfor,Single Family,1.5Fin,7,Cinder Block,798,Yes,SBrkr,1954,3,2008,Warranty Deed,Normal,311500
15623,NoRidge,Single Family,2Story,10,Poured Concrete ,2396,Yes,SBrkr,4476,4,2007,Warranty Deed,Force Closure,745000
15611,CollgCr,Single Family,2Story,8,Poured Concrete ,1079,Yes,SBrkr,1919,3,2006,New,Partial,233230
15611,NWAmes,Single Family,1Story,5,Poured Concrete ,1126,Yes,SBrkr,1126,3,2008,Warranty Deed,Force Closure,175000
15602,Crawfor,Single Family,1Story,7,Cinder Block,1501,Yes,SBrkr,1801,1,2010,Warranty Deed,Normal,289000
15593,Clear Creek,Single Family,1.5Fin,7,Cinder Block,1304,Yes,SBrkr,2287,3,2006,Warranty Deed,Normal,225000
15578,Gilbert,Single Family,2Story,6,Poured Concrete ,728,Yes,SBrkr,1456,3,2006,New,Partial,172785
15576,Crawfor,Single Family,2Story,6,Brick and Tile,840,Yes,SBrkr,1680,4,2008,Warranty Deed,Normal,177000
15523,CollgCr,Single Family,1Story,5,Cinder Block,864,Yes,SBrkr,864,3,2009,Warranty Deed,Normal,133500
15498,Timber,Single Family,1Story,8,Cinder Block,1565,Yes,SBrkr,2898,2,2008,Contract,Force Closure,287000
15431,NridgHt,Single Family,1Story,10,Poured Concrete ,3094,Yes,SBrkr,2402,2,2009,Warranty Deed,Normal,555000
15426,CollgCr,Single Family,2Story,6,Poured Concrete ,928,Yes,SBrkr,1764,3,2009,Warranty Deed,Normal,231500
15384,Gilbert,Single Family,2Story,7,Poured Concrete ,788,Yes,SBrkr,1490,3,2008,Warranty Deed,Normal,184000
15306,Timber,Single Family,1Story,8,Poured Concrete ,1732,Yes,SBrkr,1776,3,2007,New,Partial,283463
15256,Somerst,Single Family,1Story,8,Poured Concrete ,1485,Yes,SBrkr,1464,3,2007,Warranty Deed,Normal,282922
15138,NoRidge,Single Family,2Story,8,Poured Concrete ,1462,Yes,SBrkr,2794,4,2009,Warranty Deed,Normal,403000
14977,NridgHt,Single Family,1Story,8,Poured Concrete ,1976,Yes,SBrkr,1976,2,2007,New,Partial,440000
14963,Veenker,Townhouse,1Story,8,Poured Concrete ,1260,Yes,SBrkr,1288,1,2008,Warranty Deed,Normal,245500
14948,NridgHt,Single Family,2Story,9,Poured Concrete ,1452,Yes,SBrkr,2713,3,2008,New,Partial,446261
14892,Gilbert,Single Family,1Story,9,Poured Concrete ,1746,Yes,SBrkr,1746,3,2009,Warranty Deed,Normal,377500
14859,Gilbert,Single Family,1Story,7,Poured Concrete ,1670,Yes,SBrkr,1670,3,2006,New,Partial,240000
14850,NAmes,Single Family,1Story,5,Cinder Block,1092,Yes,FuseA,1092,2,2006,Warranty Deed,Normal,141000
14803,NWAmes,Single Family,2Story,6,Cinder Block,825,Yes,SBrkr,1993,4,2006,Warranty Deed,Normal,190000
14803,NridgHt,Single Family,1Story,10,Poured Concrete ,2078,Yes,SBrkr,2084,2,2008,New,Partial,385000
14781,CollgCr,Single Family,1Story,8,Poured Concrete ,1753,Yes,SBrkr,1787,3,2006,Warranty Deed,Normal,275000
14778,Crawfor,Single Family,1Story,6,Cinder Block,1296,Yes,SBrkr,1640,3,2008,Warranty Deed,Normal,224000
14774,NoRidge,Single Family,2Story,9,Poured Concrete ,1393,Yes,SBrkr,2599,4,2010,Warranty Deed,Normal,333168
14762,Gilbert,Single Family,2Story,5,Slab,0,Yes,SBrkr,2320,2,2006,Warranty Deed,Normal,169000
14720,NoRidge,Single Family,1.5Fin,8,Poured Concrete ,2033,Yes,SBrkr,3238,4,2010,Warranty Deed,Normal,410000
14684,SawyerW,Single Family,1Story,7,Cinder Block,2158,Yes,SBrkr,2196,3,2009,Warranty Deed,Normal,271900
14601,Timber,Single Family,1Story,9,Poured Concrete ,1838,Yes,SBrkr,1838,2,2009,Warranty Deed,Normal,315000
14598,Somerst,Single Family,2Story,6,Poured Concrete ,894,Yes,SBrkr,1933,4,2008,Warranty Deed,Normal,214000
14587,Somerst,Single Family,1Story,9,Poured Concrete ,1498,Yes,SBrkr,1506,2,2008,New,Partial,264132
14585,NAmes,Single Family,1Story,6,Cinder Block,1144,Yes,SBrkr,1429,3,2007,Warranty Deed,Normal,181900
14572,Gilbert,Single Family,1Story,7,Poured Concrete ,1530,Yes,SBrkr,1530,3,2007,Warranty Deed,Within Family,259000
14559,NAmes,Single Family,1Story,5,Cinder Block,1008,Yes,SBrkr,1363,2,2009,Warranty Deed,Normal,164900
14541,NoRidge,Single Family,2Story,8,Poured Concrete ,1338,Yes,SBrkr,2520,5,2006,Warranty Deed,Force Closure,310000
14536,Timber,Single Family,1Story,8,Poured Concrete ,1616,Yes,SBrkr,1629,3,2007,Warranty Deed,Normal,270000
